Jun 03 17:49:09 ip-172-31-26-49 kubelet[4412]: I0603 17:49:09.824679    4412 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-lhgh5" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:49:09 ip-172-31-26-49 kubelet[4412]: I0603 17:49:09.938718    4412 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-hfpkx" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:49:08 ip-172-31-28-142 kubelet[4413]: I0603 17:49:08.425007    4413 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-xp7wh_default(7d38e869-8239-4b49-a41b-3ada3a9d6e88)"
Jun 03 17:49:08 ip-172-31-28-142 kubelet[4413]: I0603 17:49:08.555021    4413 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-jdnrw_default(7af3d611-635a-4114-b2c3-d44231751940)"
Jun 03 17:49:08 ip-172-31-28-142 kubelet[4413]: I0603 17:49:08.555692    4413 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-zjghg_default(855c0768-8860-43d3-b12d-47f490c92ed1)"
Jun 03 17:49:09 ip-172-31-28-142 kubelet[4413]: I0603 17:49:09.133981    4413 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-xp7wh_default"
Jun 03 17:49:09 ip-172-31-28-142 kubelet[4413]: I0603 17:49:09.250324    4413 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-zjghg_default"
Jun 03 17:49:09 ip-172-31-28-142 kubelet[4413]: I0603 17:49:09.258826    4413 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-jdnrw_default"
Jun 03 17:49:09 ip-172-31-28-142 kubelet[4413]: I0603 17:49:09.371397    4413 kuberuntime_manager.go:782] Determined the ip [100.126.0.3] for pod "acmeair-flightservice-76d48bfb54-xp7wh_default(7d38e869-8239-4b49-a41b-3ada3a9d6e88)" after sandbox changed
Jun 03 17:49:09 ip-172-31-28-142 kubelet[4413]: I0603 17:49:09.513523    4413 kuberuntime_manager.go:782] Determined the ip [100.126.0.4] for pod "acmeair-flightservice-76d48bfb54-zjghg_default(855c0768-8860-43d3-b12d-47f490c92ed1)" after sandbox changed
