Jun 03 15:00:19 ip-172-31-21-224 kubelet[4433]: I0603 15:00:19.250896    4433 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-84jqw_default(9eee7ece-905d-4a21-8423-7c5b8c9b985f)"
Jun 03 15:00:19 ip-172-31-21-224 kubelet[4433]: I0603 15:00:19.271246    4433 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-b7xsw_default(8bdd914f-c047-4967-a5e6-0bb8e362e7a7)"
Jun 03 15:00:20 ip-172-31-21-224 kubelet[4433]: I0603 15:00:20.175127    4433 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-9l2tg_default"
Jun 03 15:00:20 ip-172-31-21-224 kubelet[4433]: I0603 15:00:20.210137    4433 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-84jqw_default"
Jun 03 15:00:20 ip-172-31-21-224 kubelet[4433]: I0603 15:00:20.237323    4433 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-7pxfg_default"
Jun 03 15:00:20 ip-172-31-21-224 kubelet[4433]: I0603 15:00:20.237829    4433 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-b7xsw_default"
Jun 03 15:00:20 ip-172-31-21-224 kubelet[4433]: I0603 15:00:20.334923    4433 kuberuntime_manager.go:782] Determined the ip [100.96.2.7] for pod "acmeair-flightservice-76d48bfb54-9l2tg_default(1bbb232e-1b0e-401d-927f-fae42fc99ede)" after sandbox changed
Jun 03 15:00:20 ip-172-31-21-224 kubelet[4433]: I0603 15:00:20.352834    4433 kuberuntime_manager.go:782] Determined the ip [100.96.2.6] for pod "acmeair-flightservice-76d48bfb54-84jqw_default(9eee7ece-905d-4a21-8423-7c5b8c9b985f)" after sandbox changed
Jun 03 15:00:20 ip-172-31-21-224 kubelet[4433]: I0603 15:00:20.366312    4433 kuberuntime_manager.go:782] Determined the ip [100.96.2.8] for pod "acmeair-flightservice-76d48bfb54-7pxfg_default(15c62bd3-9992-4b89-950b-13cdaac947c7)" after sandbox changed
Jun 03 15:00:20 ip-172-31-21-224 kubelet[4433]: I0603 15:00:20.379026    4433 kuberuntime_manager.go:782] Determined the ip [100.96.2.9] for pod "acmeair-flightservice-76d48bfb54-b7xsw_default(8bdd914f-c047-4967-a5e6-0bb8e362e7a7)" after sandbox changed
Jun 03 15:00:20 ip-172-31-21-224 kubelet[4433]: I0603 15:00:20.626998    4433 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-b7xsw" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:00:20 ip-172-31-21-224 kubelet[4433]: I0603 15:00:20.653747    4433 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-7pxfg" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:00:20 ip-172-31-21-224 kubelet[4433]: I0603 15:00:20.669171    4433 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-9l2tg" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:00:20 ip-172-31-21-224 kubelet[4433]: I0603 15:00:20.708906    4433 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-84jqw" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:02:14 ip-172-31-17-97 kubelet[4436]: I0603 15:02:14.941757    4436 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-bjfhd_default(ca6f37a3-6fac-4e1a-b861-c2873b4be55c)"
