Jun 03 16:40:39 ip-172-31-24-242 kubelet[4430]: I0603 16:40:39.991534    4430 kuberuntime_manager.go:782] Determined the ip [100.96.1.17] for pod "acmeair-flightservice-76d48bfb54-4t5vn_default(ede87bd6-73a5-4cf2-93f9-e07eb753c16a)" after sandbox changed
Jun 03 16:40:40 ip-172-31-24-242 kubelet[4430]: I0603 16:40:40.229171    4430 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-4t5vn" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:40:38 ip-172-31-26-125 kubelet[4429]: I0603 16:40:38.204198    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-58vrr_default(94da3eaa-f25e-49dc-8392-320110fccec2)"
Jun 03 16:40:38 ip-172-31-26-125 kubelet[4429]: I0603 16:40:38.249745    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-2s9vg_default(8f5f5bd3-9615-4faf-af0c-836c4e2705ab)"
Jun 03 16:40:38 ip-172-31-26-125 kubelet[4429]: I0603 16:40:38.280126    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-x5vm4_default(230acaf5-8ad6-40b0-b65d-8c193aa5b98e)"
Jun 03 16:40:38 ip-172-31-26-125 kubelet[4429]: I0603 16:40:38.976510    4429 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-2s9vg_default"
Jun 03 16:40:39 ip-172-31-26-125 kubelet[4429]: I0603 16:40:39.003228    4429 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-x5vm4_default"
Jun 03 16:40:39 ip-172-31-26-125 kubelet[4429]: I0603 16:40:39.028616    4429 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-58vrr_default"
Jun 03 16:40:39 ip-172-31-26-125 kubelet[4429]: I0603 16:40:39.115711    4429 kuberuntime_manager.go:782] Determined the ip [100.96.3.13] for pod "acmeair-flightservice-76d48bfb54-2s9vg_default(8f5f5bd3-9615-4faf-af0c-836c4e2705ab)" after sandbox changed
Jun 03 16:40:39 ip-172-31-26-125 kubelet[4429]: I0603 16:40:39.141012    4429 kuberuntime_manager.go:782] Determined the ip [100.96.3.15] for pod "acmeair-flightservice-76d48bfb54-58vrr_default(94da3eaa-f25e-49dc-8392-320110fccec2)" after sandbox changed
Jun 03 16:40:39 ip-172-31-26-125 kubelet[4429]: I0603 16:40:39.141448    4429 kuberuntime_manager.go:782] Determined the ip [100.96.3.14] for pod "acmeair-flightservice-76d48bfb54-x5vm4_default(230acaf5-8ad6-40b0-b65d-8c193aa5b98e)" after sandbox changed
Jun 03 16:40:39 ip-172-31-26-125 kubelet[4429]: I0603 16:40:39.332976    4429 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-2s9vg" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:40:39 ip-172-31-26-125 kubelet[4429]: I0603 16:40:39.388374    4429 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-x5vm4" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:40:39 ip-172-31-26-125 kubelet[4429]: I0603 16:40:39.388698    4429 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-58vrr" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:43:16 ip-172-31-18-31 kubelet[4424]: I0603 16:43:16.728665    4424 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-hscn2_default(fc3f4c49-d819-4739-b1b7-f8f0e66ea2c9)"
Jun 03 16:43:16 ip-172-31-18-31 kubelet[4424]: I0603 16:43:16.806085    4424 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-hmhmw_default(13fad385-d922-4b3e-9538-a6ba595b2c4d)"
Jun 03 16:43:16 ip-172-31-18-31 kubelet[4424]: I0603 16:43:16.977159    4424 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-dmdrk_default(b86778b1-d586-47c9-b1f6-5f36c17d91ce)"
Jun 03 16:43:17 ip-172-31-18-31 kubelet[4424]: I0603 16:43:17.095632    4424 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-tn558_default(47be61f3-8974-4558-93c8-22303fed0dfa)"
