Jun 03 12:00:49 ip-172-31-26-136 kubelet[4410]: I0603 12:00:49.927628    4410 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-282m5" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:00:49 ip-172-31-26-136 kubelet[4410]: I0603 12:00:49.936805    4410 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-m6tws" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:00:47 ip-172-31-31-229 kubelet[4418]: I0603 12:00:47.793770    4418 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-9v64h_default(ff339554-5c41-404f-8200-12cbe9f7fb95)"
Jun 03 12:00:47 ip-172-31-31-229 kubelet[4418]: I0603 12:00:47.898444    4418 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-hc8fd_default(bdf22709-9733-47a9-bf9b-8442634eb7ad)"
Jun 03 12:00:47 ip-172-31-31-229 kubelet[4418]: I0603 12:00:47.978216    4418 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-tfnk9_default(b0456dbf-bccc-4716-906f-b0349461e182)"
Jun 03 12:00:48 ip-172-31-31-229 kubelet[4418]: I0603 12:00:48.596574    4418 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-9v64h_default"
Jun 03 12:00:48 ip-172-31-31-229 kubelet[4418]: I0603 12:00:48.686216    4418 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-hc8fd_default"
Jun 03 12:00:49 ip-172-31-31-229 kubelet[4418]: I0603 12:00:49.237870    4418 kuberuntime_manager.go:782] Determined the ip [100.96.2.82] for pod "acmeair-flightservice-76d48bfb54-9v64h_default(ff339554-5c41-404f-8200-12cbe9f7fb95)" after sandbox changed
Jun 03 12:00:49 ip-172-31-31-229 kubelet[4418]: I0603 12:00:49.253353    4418 kuberuntime_manager.go:782] Determined the ip [100.96.2.61] for pod "acmeair-flightservice-76d48bfb54-hc8fd_default(bdf22709-9733-47a9-bf9b-8442634eb7ad)" after sandbox changed
Jun 03 12:00:49 ip-172-31-31-229 kubelet[4418]: I0603 12:00:49.261399    4418 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-tfnk9_default"
Jun 03 12:00:49 ip-172-31-31-229 kubelet[4418]: I0603 12:00:49.542331    4418 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-9v64h" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
