Jun 03 14:13:58 ip-172-31-25-1 kubelet[4618]: I0603 14:13:58.691872    4618 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-vrvzx" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:13:58 ip-172-31-25-1 kubelet[4618]: I0603 14:13:58.803492    4618 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-lbwfs" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:13:57 ip-172-31-29-81 kubelet[4634]: I0603 14:13:57.354904    4634 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-4t7z6_default(81e816d2-8198-41d7-89fa-cb95118b4e08)"
Jun 03 14:13:57 ip-172-31-29-81 kubelet[4634]: I0603 14:13:57.421758    4634 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-bxdd4_default(e2883835-a271-4c32-88f9-57ad9d160400)"
Jun 03 14:13:57 ip-172-31-29-81 kubelet[4634]: I0603 14:13:57.470473    4634 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-tmbts_default(82e6a0b7-9b90-48d6-8f38-14adbbeda131)"
Jun 03 14:13:58 ip-172-31-29-81 kubelet[4634]: I0603 14:13:58.095731    4634 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-4t7z6_default"
Jun 03 14:13:58 ip-172-31-29-81 kubelet[4634]: I0603 14:13:58.170124    4634 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-tmbts_default"
Jun 03 14:13:58 ip-172-31-29-81 kubelet[4634]: I0603 14:13:58.173497    4634 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-bxdd4_default"
Jun 03 14:13:58 ip-172-31-29-81 kubelet[4634]: I0603 14:13:58.325532    4634 kuberuntime_manager.go:782] Determined the ip [100.112.14.198] for pod "acmeair-flightservice-76d48bfb54-4t7z6_default(81e816d2-8198-41d7-89fa-cb95118b4e08)" after sandbox changed
Jun 03 14:13:58 ip-172-31-29-81 kubelet[4634]: I0603 14:13:58.493084    4634 kuberuntime_manager.go:782] Determined the ip [100.112.14.199] for pod "acmeair-flightservice-76d48bfb54-bxdd4_default(e2883835-a271-4c32-88f9-57ad9d160400)" after sandbox changed
Jun 03 14:13:58 ip-172-31-29-81 kubelet[4634]: I0603 14:13:58.560086    4634 kuberuntime_manager.go:782] Determined the ip [100.112.14.200] for pod "acmeair-flightservice-76d48bfb54-tmbts_default(82e6a0b7-9b90-48d6-8f38-14adbbeda131)" after sandbox changed
Jun 03 14:13:58 ip-172-31-29-81 kubelet[4634]: I0603 14:13:58.602160    4634 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-4t7z6" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:13:58 ip-172-31-29-81 kubelet[4634]: I0603 14:13:58.715095    4634 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-bxdd4" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:13:58 ip-172-31-29-81 kubelet[4634]: I0603 14:13:58.815967    4634 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-tmbts" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
